login_hour,login_frequency,location_id,device_id,transaction_amount,time_spent,failed_attempts,is_vpn,request_rate,last_login_diff,os_type,browser_id,is_suspicious
6.0,18,24,3,335.3611900284101,248.1489122777933,0,0,1.203740251284007,120.82873894127187,3,2,0
19.0,24,65,17,733.8370154549733,113.84418834814069,0,0,10.084390046216958,80.79529530831297,1,2,0
14.0,28,18,6,200.06791820533914,65.90771519337159,0,0,1.4654151726895248,19.582834344112428,3,3,1
10.0,22,46,8,401.58084578411854,266.5648731461685,1,0,9.664733361581336,33.23084818468159,1,4,0
7.0,28,56,14,220.48075272176982,284.60044368070703,0,0,2.2069043124861927,79.9315592279215,0,3,1
20.0,10,63,10,63.765338208629764,101.40192505088793,0,1,11.459113008587634,264.45558606967955,3,2,0
6.0,2,7,10,43.44385246918708,125.30401158247317,1,0,4.749636845322473,146.12081051688742,1,1,0
,2,66,15,35.852636951175214,85.24880623921172,0,1,5.239420080955273,46.173406175190465,0,5,0
22.0,27,40,8,124.33345006806044,379.51609793212185,5,0,1.3091110225577285,35.0477361466685,0,4,1
10.0,14,54,11,272.11169500282045,118.3649231269462,0,0,0.8550891431812745,12.445115806511208,1,5,0
10.0,16,31,16,166.31691253543275,102.09805508887953,1,0,8.657869734534923,20.947953005677014,0,2,0
23.0,7,97,3,127.80616925804794,135.6198251431756,0,0,3.6737262447668573,1.7260943604959114,0,1,0
20.0,21,52,15,303.750127150673,87.220819515155,0,0,0.8595920774739754,47.136987782083025,0,5,0
3.0,21,94,13,106.55959297499722,200.16441807447015,0,0,4.507800590731594,18.532198591764345,1,3,0
7.0,24,31,11,79.52217302796643,224.815585896622,0,0,14.638970739177319,22.241439362399266,2,3,0
23.0,12,34,14,141.2242081314142,203.01778538041745,0,0,,13.504946697515942,3,3,0
,28,7,7,343.6616239024771,89.40513380184251,0,0,12.909122542326605,3.15564272655379,2,5,1
,23,89,19,59.00996787099944,278.54668957693946,0,0,13.4090483753536,68.36910018814766,2,5,0
20.0,28,16,15,241.9039513615096,225.69528943597498,1,0,4.884604651945883,30.443918433700333,2,4,1
1.0,14,22,6,126.62130218217746,76.36788216987128,0,0,8.514650783059482,120.29583617138337,0,3,0
23.0,25,53,7,46.774247744687,194.40290640400258,1,0,2.2129245808762543,9.043633306632415,2,3,0
11.0,4,91,14,22.08425312302616,310.22414112590127,0,0,9.659175377272796,150.6683486741399,0,3,0
5.0,26,17,4,361.8887264566241,113.07941975894676,0,0,14.36715263195282,53.78807703674585,2,1,1
1.0,4,4,9,251.64303473223896,280.0250951174627,0,0,5.224555801472692,42.88700044825053,2,5,0
20.0,18,61,7,82.62503799900554,93.53997096391484,0,1,7.959033050367792,188.11088386990033,3,2,0
0.0,3,99,15,154.4614352802248,212.87721545892114,0,0,4.650930651285291,6.30356747476665,3,5,0
11.0,1,86,3,543.5556814571646,168.056544115138,2,1,6.840714991129352,39.34580539097253,0,5,0
21.0,17,52,5,102.05317876936397,158.5518394192598,10,0,6.6280160046587975,98.86827259386465,0,3,1
,7,35,17,615.4568794859672,438.46200261430005,1,1,10.823645295456021,79.8184965380836,2,2,0
16.0,16,44,1,485.6968920330768,292.64907744627766,0,0,12.089680134250566,38.622814112783374,3,4,0
9.0,5,15,1,359.4963345887571,248.99377265531254,0,1,12.893087998128456,12.006164304911568,2,1,1
15.0,19,61,16,167.76752615659316,222.06174116809763,0,0,3.564107736479115,15.415078744394439,2,1,0
14.0,7,44,14,198.25250829599435,166.79486033052157,0,0,3.790549761808539,22.958801177085135,0,5,0
