login_hour,login_frequency,location_id,device_id,transaction_amount,time_spent,failed_attempts,is_suspicious
6,10,2,3,2079.3038692872738,329.73760381633826,9,1
19,2,7,4,629.2434117873149,394.08108402264145,5,1
14,2,8,5,2105.338663015353,374.1040024837435,7,1
10,12,7,9,979.2223191809527,424.46585989416053,7,1
7,3,7,6,2083.6420652953493,54.01713475165432,4,1
20,10,14,4,1927.8517495130532,216.6108175348596,3,1
6,7,18,7,3694.574268310927,263.2300098743089,4,1
18,2,6,2,3873.3356352501305,160.07443223560506,8,1
22,14,4,4,3039.072985378888,107.71322581018813,9,1
10,1,10,5,123.20734249041324,87.66185054815337,5,1
10,14,18,4,4655.80117256426,222.99811839266815,2,1
23,6,12,4,3434.304067681274,298.5978118347267,2,0
20,9,16,9,180.6352951067323,42.47098188726312,0,0
3,3,7,2,4095.976167078448,568.142566281377,4,1
7,6,6,6,1009.3281120428007,460.31977710215125,5,1
23,3,5,8,2900.313735959823,439.8568050453526,7,1
2,14,3,8,2338.5055060514337,107.85201236829253,8,1
21,13,12,7,2104.9955239518326,364.26145696725246,6,1
20,1,15,4,4449.671463420744,320.1863433511571,0,0
1,14,10,7,2192.4328448974475,589.5689632430829,6,1
23,13,19,6,385.96714669002216,449.864703197694,9,1
11,12,16,6,4733.727248802614,347.57832081115754,8,1
5,5,11,2,4603.470803885742,511.2335365497227,3,0
1,10,8,8,3425.3191210121777,97.28109116212214,6,1
20,14,3,8,2344.7837153788046,14.053835166131433,8,1
0,13,7,7,473.3687699881711,415.6888333816413,0,1
11,11,7,9,3955.833111701606,63.49531884115629,9,1
21,4,14,8,386.6347929759045,73.68301579018797,8,1
11,7,2,9,352.3189146267768,448.08503222259566,3,0
16,6,10,9,2691.545373772447,165.96823225972352,7,1
9,10,19,6,809.0399185213547,379.0355732634913,2,0
15,7,9,2,48.57403402834143,550.8571210251853,1,0
14,5,16,7,2121.3360206689736,193.3023463245257,7,1
14,4,19,3,694.713985734229,134.2007739147517,7,1
18,7,18,7,810.9719222506493,68.40491582592577,2,0
11,7,9,9,393.7840872893199,82.62510504473704,7,1
22,6,16,2,1033.4178310808136,42.022503750411424,5,1
19,8,13,6,3580.266057074203,57.14721540369538,9,1
2,4,10,6,4046.547263016779,262.0427303414466,8,1
4,10,14,9,2268.1428837062103,195.91470178926198,9,1
18,5,12,9,2537.703541248274,425.4036845221838,5,1
6,4,19,5,172.94862262507098,522.7937866569661,7,1
20,12,7,5,355.88814424287114,471.94005586971866,1,0
8,1,15,9,1295.2629509910894,320.72916771606305,0,0
6,12,16,8,2724.053119358606,65.95305915842879,9,1
17,8,8,7,3700.3602321876147,427.31153394522437,9,1
3,1,10,8,3028.965276076785,220.88309121248977,1,1
13,5,4,6,1966.7179963840733,55.96198437966906,3,0
17,6,19,3,600.4371242856596,506.2675122915123,9,1
8,6,19,7,3906.058442087075,206.23882772359082,8,1
20,13,15,8,1825.2923974792948,134.85805534438495,6,1
1,5,14,8,3682.90953226912,523.5139784482117,8,1
19,3,1,1,2569.764421152566,541.769651725968,8,1
14,5,16,7,3695.923647273508,206.6876481289781,8,1
6,12,10,3,4537.374911648334,216.10684447241718,7,1
11,8,19,2,4605.937285108472,349.8789739119707,5,1
7,14,3,2,2680.182832203011,441.3976888173416,9,1
14,2,5,8,2562.4267401805373,42.57377513458376,6,1
2,6,9,9,1335.735542859158,358.03947602714067,1,0
13,9,18,3,4679.641159331164,571.9279367612311,0,0
16,8,11,3,2295.0166443261082,160.94586882207244,4,1
3,14,16,6,646.680284044012,545.7521923876756,7,1
17,11,2,1,2169.197523986484,570.3501627540408,2,0
7,8,12,6,643.9957186876397,165.1464163777984,6,1
3,8,6,3,2517.633104442805,453.75011020178357,4,1
1,13,11,4,2810.764819132499,147.07112995013821,9,1
5,7,8,9,1695.4012498529908,443.87864123061894,7,0
21,8,12,3,367.53656501510847,479.4648829168514,5,1
9,13,2,1,4718.082642809863,152.0873937078364,5,0
3,6,9,3,3869.0320362823136,430.9423784320248,6,1
21,2,15,7,4196.016591720554,488.20220062413347,6,1
17,2,2,7,1840.6732874882848,218.3544289036125,3,0
11,8,1,5,3806.546839797058,104.78315171388753,9,1
1,11,10,1,2432.0107468942792,59.718917553920576,9,1
9,1,2,8,1013.4066071461693,347.3521136479154,9,1
3,6,12,8,630.8726507669943,586.9683809928493,7,1
13,13,8,2,1731.8038379170637,494.65544041321857,5,1
15,6,5,3,696.385036260947,264.3245851660589,7,1
14,11,1,4,4991.362191258302,324.28943719870034,6,1
7,4,15,1,255.45306125779007,171.31909182003227,0,0
13,12,6,4,2211.3065608516918,102.02419107923782,3,0
22,11,12,5,2265.946676728017,291.8382891482026,6,1
7,13,8,3,1510.153323622561,280.7834318694752,8,1
20,11,13,2,2861.0443128776574,315.5483219182373,1,0
15,13,19,6,758.385350516208,571.9187284105448,4,1
12,10,1,8,3921.722779130296,364.3177035861395,8,0
17,3,11,7,1668.9141140557151,365.4342427903124,8,1
14,13,1,1,2960.7995230952224,81.17473390234069,5,1
20,11,8,4,3581.039787974127,597.9108753752082,6,1
23,3,5,3,4446.320167273904,464.8427418196278,8,1
12,13,17,6,4180.579307896479,526.9359897359328,9,0
8,13,8,9,3045.4620502367625,251.5087450394415,7,1
14,1,10,9,1948.0819701155958,303.7662169924468,9,1
12,3,2,7,2520.99130367407,315.6398664515545,5,1
0,4,9,9,3845.986618960225,120.48625087731509,5,1
6,11,3,8,4388.95225737177,415.2460480145395,6,1
8,11,18,5,527.8718216015926,542.2711505523866,6,1
23,5,7,9,1930.432749840337,102.4049617923593,1,0
0,3,15,7,3882.821826083368,56.35937272426788,8,1
11,6,18,5,2163.942295343865,444.2402487965036,3,0
7,11,3,8,1667.8165426907565,167.55508984542433,9,1
23,14,14,7,2062.5002571481155,376.19821226231096,8,1
10,12,2,9,3018.1952864638906,418.9762111053475,9,1
18,5,14,1,4999.027669227669,196.53690433118396,2,0
16,3,11,9,2470.0322212316137,490.01103546834173,4,1
7,6,16,7,1050.38743002176,332.24344435795905,4,1
2,6,8,1,822.6044106426828,522.0546477313227,6,1
2,14,7,1,221.32523990730732,459.15966377257377,3,1
0,8,11,5,2798.4980022424243,521.802501062285,3,0
4,2,3,8,2727.414736529283,16.99602236014698,0,1
9,1,17,9,1034.1172946337426,149.88622513946385,5,1
6,4,14,6,3479.6937381983093,58.55472456533349,3,0
8,7,6,8,3708.124137732107,268.03939522766274,9,1
6,11,8,6,1302.9000448567351,534.5262723611144,9,1
8,10,5,6,1727.0578225083852,283.18645604878714,4,1
7,3,8,4,4952.453645012811,510.57926152533446,8,1
11,3,2,5,1877.5796945751636,199.67105162149414,3,0
1,5,15,2,3806.400342062948,207.04419331912518,0,1
0,5,12,3,2269.0998788834004,537.8592295444921,8,1
15,13,17,3,3968.79069102627,258.3612021744624,4,1
22,10,1,5,3847.425961525413,474.9104652378265,9,1
22,3,15,5,3342.1025657406926,145.8029109897313,6,1
23,9,14,6,4275.343948014941,569.5364936581931,2,0
4,4,16,5,4696.700289439649,346.8740566856898,3,1
2,13,9,6,2904.1167690558987,456.79752330414914,9,1
11,13,1,8,1194.9698470415012,58.26184137795687,8,1
7,3,17,2,1999.1585186039345,298.1352143691646,9,1
21,11,13,4,3793.9455104313333,541.1179061517438,0,0
2,2,5,6,3257.9085907681088,526.8379842807662,4,1
0,10,10,5,897.2137094405912,32.854304554365385,7,1
2,13,6,1,265.68531032065926,185.7005891317233,9,1
4,11,19,9,3417.978351774904,268.7754038550527,6,1
14,9,13,3,1262.8843299064333,107.49756454169399,3,0
13,4,1,2,2503.3545162079768,439.3489950390324,6,1
2,3,15,9,3736.2663948378454,114.78463738123338,0,1
0,7,14,7,2817.707235475102,211.25061815008226,5,1
4,8,8,5,425.679889727864,399.65197893040187,8,1
22,11,10,6,936.0453815499415,291.8431599920656,2,0
13,14,9,4,1104.4476383142865,444.44976798776185,3,1
6,2,17,1,1296.742625687776,576.9187012276016,7,1
8,7,9,4,2831.362925833016,74.34527919054251,4,1
14,12,3,9,2524.7892413287136,427.19279125684625,4,1
14,5,11,1,1023.7685914374025,142.05477260110814,0,1
9,11,12,3,347.0986688438785,251.6136528075037,5,1
12,5,10,5,865.4467003288432,24.553321848108194,1,0
18,3,17,7,4922.062749966831,85.86489246415587,0,0
6,5,17,9,2348.0492794594466,195.2674869840953,5,1
16,12,11,6,4338.054068463542,208.48155414635104,4,1
19,2,4,3,4245.274808677528,540.253203794947,4,1
3,4,7,7,2562.4825917397397,446.3786810135765,8,1
4,6,14,4,3536.371665218112,583.4488660712894,9,1
22,1,7,3,971.8325319594343,361.4475486494681,9,1
6,10,8,7,3445.0995575852726,148.81967059433418,2,0
12,4,1,7,1369.1990505238148,199.9547428033775,0,0
14,6,4,4,4161.989862803212,195.3023743587204,7,1
10,9,12,7,427.7834242134605,199.2641249596347,4,1
3,14,3,2,3867.9619776975346,405.41368300153033,4,1
12,11,13,1,508.68516377741145,320.83071721379764,7,1
6,11,6,2,4407.134292102602,234.32738596155338,7,1
